x801
202200001 100 100 100 100 100 100 100*  100
202200002  75 85 77 59 0 85 75*         89
202200014  56 54 50 66 75 70 65*       55
202200009  89 86 70 90 55 73 80*        84
202200015  47 70 82 73 50 87 73*      71
202200005  67 72 73 40 0 78 55*         70

202200062  47 70 82 73 50 87 73*     71

-----------------------------------------------
c702

202200023   90 96 99 99 100 81 97*      97
202200011   81 97 99 67 40 90 70*       96
202200001   83 98 96 79 100 82 97*      92

202200005   67 72 73 40 0 78 55*         70
202200009   77 70 82 65 70 77 83*        81
202200042   77 72 73 80 90 93 75*      90
202200062   47 70 82 73 50 87 73*     71

202200002   77 82 83 50 10 88 65*        80
202200050   97 90 92 95 #@ 87 93*       91

---------------------------------------------
b601
202400002   77 85 65 80 90 70 85*        90
202400050   76 72 73 80 90 93 75*        80
202400001  72 87 88 54 55 82 69 *      87
---------------------------------------------
b606
202300033   77 70 82 65 70 77 83*        81
202300045   67 90 92 73 100 87 93*       91
202300005   67 70 72 78 89 87 70*        85
